Abundance,R,10E,249/383,No,1.99,
Academy Researchers,U,10E,63/383,No,0.49,
Adarkar Wastes,R,10E,347/383,No,2.99,
Afflict,C,10E,125/383,No,0.15,
Aggressive Urge,C,10E,250/383,No,0.15,
Agonizing Memories,U,10E,126/383,No,0.25,
Air Elemental,U,10E,64/383,No,0.25,
Ambassador Laquatus,R,10E,65/383,No,1.99,
Anaba Bodyguard,C,10E,187/383,No,0.15,
Ancestor's Chosen,U,10E,1/383,No,0.25,
Angel of Mercy,U,10E,2/383,No,0.49,
Angelic Blessing,C,10E,3/383,No,0.15,
Angelic Chorus,R,10E,4/383,No,3.99,
Angelic Wall,C,10E,5/383,No,0.25,
Angel's Feather,U,10E,311/383,No,0.25,
Arcane Teachings,U,10E,188/383,No,0.49,
Arcanis the Omnipotent,R,10E,66/383,No,5.99,
Ascendant Evincar,R,10E,127/383,No,1.99,
Assassinate,C,10E,128/383,No,0.15,
Aura Graft,U,10E,67/383,No,0.25,
Aura of Silence,U,10E,6/383,No,2.99,
Avatar of Might,R,10E,251/383,No,1.49,
Aven Cloudchaser,C,10E,7/383,No,0.15,
Aven Fisher,C,10E,68/383,No,0.15,
Aven Windreader,C,10E,69/383,No,0.15,
Ballista Squad,U,10E,8/383,No,0.25,
Bandage,C,10E,9/383,No,0.15,
Battlefield Forge,R,10E,348/383,No,2.99,
Beacon of Destruction,R,10E,189/383,No,0.99,
Beacon of Immortality,R,10E,10/383,No,6.99,
Beacon of Unrest,R,10E,129/383,No,4.99,
Benalish Knight,C,10E,11/383,No,0.25,
Birds of Paradise,R,10E,252/383,No,5.99,
Blanchwood Armor,U,10E,253/383,No,0.99,
Blaze,U,10E,190/383,No,0.49,
Bloodfire Colossus,R,10E,191/383,No,0.49,
Bloodrock Cyclops,C,10E,192/383,No,0.15,
Bog Wraith,U,10E,130/383,No,0.25,
Bogardan Firefiend,C,10E,193/383,No,0.15,
Boomerang,C,10E,70/383,No,0.25,
Bottle Gnomes,U,10E,312/383,No,0.49,
Brushland,R,10E,349/383,No,
Cancel,C,10E,71/383,No,0.25,
Canopy Spider,C,10E,254/383,No,
Caves of Koilos,R,10E,350/383,No,3.99,
Cephalid Constable,R,10E,72/383,No,0.99,
Chimeric Staff,R,10E,313/383,No,
Cho-Manno, Revolutionary,R,10E,12/383,,
Chromatic Star,U,10E,314/383,No,1.99,
Citanul Flute,R,10E,315/383,No,
Civic Wayfinder,C,10E,255/383,No,
Clone,R,10E,73/383,No,
Cloud Elemental,C,10E,74/383,No,0.15,
Cloud Sprite,C,10E,75/383,No,0.15,
Coat of Arms,R,10E,316/383,No,9.99,
Colossus of Sardia,R,10E,317/383,No,
Commune with Nature,C,10E,256/383,No,0.25,
Composite Golem,U,10E,318/383,No,
Condemn,U,10E,13/383,No,
Cone of Flame,U,10E,194/383,No,
Consume Spirit,U,10E,131/383,No,
Contaminated Bond,C,10E,132/383,No,
Counsel of the Soratami,C,10E,76/383,No,
Crafty Pathmage,C,10E,77/383,No,
Craw Wurm,C,10E,257/383,No,
Creeping Mold,U,10E,258/383,No,
Crucible of Worlds,R,10E,319/383,No,
Cruel Edict,U,10E,133/383,No,
Cryoclasm,U,10E,195/383,No,
Deathmark,U,10E,134/383,No,
Dehydration,C,10E,78/383,No,
Deluge,U,10E,79/383,No,
Demolish,C,10E,196/383,No,
Demon's Horn,U,10E,320/383,No,
Demystify,C,10E,14/383,No,
Denizen of the Deep,R,10E,80/383,No,
Diabolic Tutor,U,10E,135/383,No,
Discombobulate,U,10E,81/383,No,
Distress,C,10E,136/383,No,
Doomed Necromancer,R,10E,137/383,No,
Doubling Cube,R,10E,321/383,No,
Dragon Roost,R,10E,197/383,No,
Dragon's Claw,U,10E,322/383,No,
Dreamborn Muse,R,10E,82/383,No,
Dross Crocodile,C,10E,138/383,No,
Drudge Skeletons,U,10E,139/383,No,
Duct Crawler,C,10E,198/383,No,
Dusk Imp,C,10E,140/383,No,
Earth Elemental,U,10E,199/383,No,
Elven Riders,U,10E,259/383,No,
